original_address,lat,lon,formatted,name,housenumber,street,county_code,district,suburb,postcode,city,county,state,state_code,confidence_street_level,country,confidence_building_level,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Đường Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.881058,106.638714,"Hiệp Thành 12, Ho Chi Minh City, HC, Vietnam",,,Hiệp Thành 12,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trường Chinh,Phường Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh",16.0574648,108.180416,"Trạm y tế Phường An Khê, Đường Trường Chinh, An Khê, Đà Nẵng, 84236, Vietnam",Trạm y tế Phường An Khê,,Đường Trường Chinh,,Phường An Khê,An Khê,84236,Đà Nẵng,,,,0.3969,Vietnam,,vn,0.19845,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hiệp Thành 13,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.805853,106.75099,"13, Đường 13, Ho Chi Minh City, HC, Vietnam",,13,Đường 13,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,0,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đông Hưng Thuận 6,Phường Đông Hưng Thuận,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",Quan 12,,,,,,,,Quan 12,Ho Chi Minh,HC,,Vietnam,,vn,0.07237692136333261,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thị Kiêu,Phường Tân Thới Hiệp,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",Quan 12,,,,,,,,Quan 12,Ho Chi Minh,HC,,Vietnam,,vn,0.08185941043083902,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Lộc 57,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.43943,105.623504,"57, Quản Bạch, DT, Vietnam",,57,Quản Bạch,,,,,,TP Cao Lanh,Dong Thap,DT,0.041666666666666664,Vietnam,0,vn,0.01875,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hiệp Thành 7,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.798898,106.733759,"7, Đường số 7, Ho Chi Minh City, HC 700000, Vietnam",,7,Đường số 7,,,,700000,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,0,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Thánh Tôn,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.07777777777777779,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ngô Văn Năm,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.08074047703809187,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồ Tùng Mậu,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.08074047703809187,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Nhật Duật,Phường Tân Định,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bùi Viện,Phường Bến Thành,Quận 1,TP. Hồ Chí Minh",10.7682303,106.6943986,"Bui Vien Street Hostel, 23;24;25, Hẻm 28 Bùi Viện, Ho Chi Minh City, 71010, Vietnam",Bui Vien Street Hostel,23;24;25,Hẻm 28 Bùi Viện,,Khu phố 4,,71010,Ho Chi Minh City,Phường Bến Thành,,,0.18,Vietnam,,vn,0.18,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cống Quỳnh,Phường Nguyễn Cư Trinh,Quận 1,TP. Hồ Chí Minh",10.7663255,106.6894493,"Khách Sạn Saigon Backpackers - Cống Quỳnh, 200, Hẻm 200 Cống Quỳnh, Ho Chi Minh City, 70200, Vietnam",Khách Sạn Saigon Backpackers - Cống Quỳnh,200,Hẻm 200 Cống Quỳnh,,Khu phố 3,,70200,Ho Chi Minh City,Phường Bến Thành,,,0.18,Vietnam,,vn,0.18,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Ký Con,Phường Nguyễn Thái Bình,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thái Học,Phường Cầu Ông Lãnh,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đinh Công Tráng,Phường Tân Định,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,Ho Chi Minh City,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Lai,Phường Bến Thành,Quận 1,TP. Hồ Chí Minh",22.3924058,103.4726933,"President Ho Chi Minh and people of Lai Chau, Le Loi Street, Tân Phong, Lai Châu, Lai Châu Province, Vietnam",President Ho Chi Minh and people of Lai Chau,,Le Loi Street,,,Tân Phong,,Lai Châu,,Lai Châu Province,,0.07407407407407407,Vietnam,,vn,0.07407407407407407,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Cư Trinh,Phường Bến Thành,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,Ho Chi Minh City,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thi Sách,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,TP. Hồ Chí Minh",10.7682303,106.6943986,"Bui Vien Street Hostel, 23;24;25, Hẻm 28 Bùi Viện, Ho Chi Minh City, 71010, Vietnam",Bui Vien Street Hostel,23;24;25,Hẻm 28 Bùi Viện,,Khu phố 4,,71010,Ho Chi Minh City,Phường Bến Thành,,,0.18,Vietnam,,vn,0.18,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Đình Chiểu,Phường Đa Kao,Quận 1,TP. Hồ Chí Minh",16.023863555505876,108.24571747031838,"Đường Nguyễn Đình Chiểu, Ngũ Hành Sơn, Đà Nẵng, 50507, Vietnam",Đường Nguyễn Đình Chiểu,,Đường Nguyễn Đình Chiểu,,Phường Ngũ Hành Sơn,Ngũ Hành Sơn,50507,Đà Nẵng,,,,0.3969,Vietnam,,vn,0.3969,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Mạc Đỉnh Chi,Phường Đa Kao,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,Ho Chi Minh City,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Chu Mạnh Trinh,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.07232142857142855,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mạc Đỉnh Chi,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.07777777777777779,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bùi Thị Xuân,Phường Bến Thành,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đông Du,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.09446064139941689,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Công Trứ,Phường Nguyễn Thái Bình,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 55, Phường Tân Tạo,Phường Tân Tạo,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,,Binh Tan,Ho Chi Minh,HC,,Vietnam,,vn,0.10231009133437294,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tên Lửa,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,,Binh Tan,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 25,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.0984375,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Đăng Giảng,Phường Bình Hưng Hòa,Quận Bình Tân,TP. Hồ Chí Minh",10.810285,106.599962,"Đường Phạm Đăng Giảng, HC, Vietnam",,,Đường Phạm Đăng Giảng,,,,,,Binh Tan,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 7 Khu Dân Cư Nam Long,Phường Tân Tạo A,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,,Binh Tan,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 2,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",10.7365876,106.7120245,"Trường Mầm Non Tân Phong, 2, Đường Số 31, Ho Chi Minh City, 72915, Vietnam",Trường Mầm Non Tân Phong,2,Đường Số 31,,,,72915,Ho Chi Minh City,Phường Tân Hưng,,,0.18,Vietnam,0.18,vn,0.15652173913043477,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 18,Phường Tân Phú,Quận 7,TP. Hồ Chí Minh",10.760942,106.6316059,"Nhà Thuốc Hồng Phúc, 18, Đường Lương Minh Nguyệt, Ho Chi Minh City, 72015, Vietnam",Nhà Thuốc Hồng Phúc,18,Đường Lương Minh Nguyệt,,,,72015,Ho Chi Minh City,Phường Phú Thạnh,,,0.24300000000000002,Vietnam,,vn,0.24300000000000002,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 18B, Phường Bình Hưng Hòa A,Phường Tân Tạo A,Quận Bình Tân,TP. Hồ Chí Minh",10.816183846166936,106.77013345898456,"Đường 18B, Ho Chi Minh City, 71210, Vietnam",Đường 18B,,Đường 18B,,,,71210,Ho Chi Minh City,Phường Phước Long,,,0.09,Vietnam,,vn,0.045,0.09,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Thị Thập Nối Dài - Đường Nội Bộ Khu Dân Cư Him Lam (Phường Tân Hưng),Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.80499,106.86931,"Đường 8 Nối Dài, Ho Chi Minh City, HC, Vietnam",,,Đường 8 Nối Dài,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,0.015789473684210523,Vietnam,,vn,0.015789473684210527,0.15,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường D4,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,,Phường Tân Hưng,,,Hải Phòng,,Phường Tân Hưng,,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Huỳnh Tấn Phát,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.07777777777777779,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Song Hành Với Đường Nguyễn Hữu Thọ - Đường Nội Bộ Khu Nhà Ở Tân Phong,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",19.75,105.7,"Tan Phong, Vietnam",,,,,,,,Tan Phong,,,,,Vietnam,,vn,0.5,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Hữu Lầu,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.0838757396449704,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 79,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.79397,106.62169,"Phường Tân Quý, HC, Vietnam",,,,,,,,Phường Tân Quý,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0.45,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Số 15,Phường Tân Kiểng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.0984375,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
