original_address,lat,lon,formatted,housenumber,name,county_code,postcode,district,suburb,city,street,county,state,state_code,country,confidence_street_level,confidence_building_level,country_code,confidence_city_level,confidence,attribution,attribution_license,attribution_url
"đường 38,Phường Hiệp Bình,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Thới Nhì 9,Xã Tân Thới Nhì,Huyện Hóc Môn,TP. Hồ Chí Minh",10.888193,106.577997,"9, Đường Tân Thới Nhì 1, HC, Vietnam",9,,,,,,,Đường Tân Thới Nhì 1,Hoc Mon,Ho Chi Minh,HC,Vietnam,0.19999999999999998,0,vn,0.2222222222222222,0.09999999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bà Tỵ,Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường D4,Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 34,Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,71006,,,Ho Chi Minh City,,,,,Vietnam,,,vn,0.9,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Quốc Lộ 13,Phường Bến Cát,TP. Hồ Chí Minh(Mới)",10.866074,106.719337,"Đường Quốc lộ 13 cũ, Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Đường Quốc lộ 13 cũ,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Xuân 14,Phường Thới An,TP. Hồ Chí Minh(Mới)",10.780461599999999,106.69349664795052,"Victory Hotel, 14, Vo Van Tan Street, Ho Chi Minh City, 71009, Vietnam",14,Victory Hotel,,71009,,,Ho Chi Minh City,Vo Van Tan Street,Phường Xuân Hòa,,,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường D1,Phường Long Nguyên,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,71006,,,Ho Chi Minh City,,,,,Vietnam,,,vn,0.9,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bùi Quang,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Xuân Thới Thượng 2,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",10.855774,106.562474,"2, Đường Xuân Thới Thượng 2, HC, Vietnam",2,,,,,,,Đường Xuân Thới Thượng 2,Hoc Mon,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Huyện Củ Chi,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D9,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên Huyện,Phường Tân Đông Hiệp,TP. Hồ Chí Minh(Mới)",10.8797503,106.81389665,"Hầm chui Bến xe Miền Đông Mới, Tân Lập, Ho Chi Minh City, 00084, Vietnam",,Hầm chui Bến xe Miền Đông Mới,,00084,,Tân Lập,Ho Chi Minh City,Hầm chui Bến xe Miền Đông Mới,Phường Đông Hòa,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 8,Xã Tân Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 8,Phường Thới Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đất,Xã Minh Thạnh,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Chuẩn 31,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",10.985526,106.728352,"31, Đường Bình Chuẩn 31, BI, Vietnam",31,,,,,,,Đường Bình Chuẩn 31,Thuan An,Bin Duong,BI,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cá Lăng,Xã Phú Hòa Đông,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D6,Phường Đông Hòa,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,71006,,,Ho Chi Minh City,,,,,Vietnam,,,vn,0.9,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 4,Phường Long Trường,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Kênh Trung  Ương,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,,
"Đường Tây Lân,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.845271,106.595757,"Đường Tây Lân 3, HC, Vietnam",,,,,,,,Đường Tây Lân 3,Hoc Mon,Ho Chi Minh,HC,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thuận Giao 15,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",10.952165,106.723286,"15, Đường Thuận Giao 24, BI, Vietnam",15,,,,,,,Đường Thuận Giao 24,Thuan An,Bin Duong,BI,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Hữu Cảnh,Phường Lái Thiêu,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Ư Dĩ,Phường An Khánh,TP. Hồ Chí Minh(Mới)",10.783410056213933,106.69859128763775,"Nguyen Thi Minh Khai, Saigon, Ho Chi Minh City, 71006, Vietnam",,Nguyen Thi Minh Khai,,71006,Khu phố 2,Saigon,Ho Chi Minh City,Nguyen Thi Minh Khai,,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Bàu Bàng,Xã Bàu Bàng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ngô Đức Kế,Phường Tam Thắng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên ấp 2 - 3,Xã Hưng Long,TP. Hồ Chí Minh(Mới)",10.790931,106.580354,"B12A/23F3 LIÊN ÂP 1-2, 3 Ấp 2, Đường Liên Ấp 1-2-3, Ho Chi Minh City, HC 111111, Vietnam","B12A/23F3 LIÊN ÂP 1-2, 3 Ấp 2",,,111111,,,Ho Chi Minh City,Đường Liên Ấp 1-2-3,Binh Chanh,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc lộ 51B,Phường Phước Thắng,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Chi Lăng (P,12),Phường Phước Thắng,TP. Hồ Chí Minh(Mới)",10.768255,106.55193909535308,"Trường THPT Lê Minh Xuân, Đường Láng Le Bàu Cò, Ho Chi Minh City, Vietnam",,Trường THPT Lê Minh Xuân,,,,,Ho Chi Minh City,Đường Láng Le Bàu Cò,Xã Bình Lợi,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bờ Kinh 14,Xã Bình Chánh,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 2/9,Phường Rạch Dừa,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,71006,,,Ho Chi Minh City,,,,,Vietnam,,,vn,0.9,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 2/9,Phường Phước Thắng,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,71006,,,Ho Chi Minh City,,,,,Vietnam,,,vn,0.9,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Loại 5,Phường Chánh Phú Hòa,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hạ Long,Phường Vũng Tàu,TP. Hồ Chí Minh(Mới)",21.0367831,105.83468878252572,"Ho Chi Minh Mausoleum, 1, Hung Vuong Road, Ba Đình District, Hanoi, 10044, Vietnam",1,Ho Chi Minh Mausoleum,,10044,,Ba Đình District,Hanoi,Hung Vuong Road,Ba Dinh Ward,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Hồng Phong,Phường Tam Thắng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Hiệp 27,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",10.905581,106.595474,"27, Đường Tân Hiệp 31, HC, Vietnam",27,,,,,,,Đường Tân Hiệp 31,Hoc Mon,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Ven Biển,Phường Phước Thắng,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tỉnh lộ 44A,Xã Đất Đỏ,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 3/2,Phường Tam Thắng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Bến Đò Mới,Xã Trừ Văn Thố,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 8, Phường Tăng Nhơn Phú A - Phường Tăng Nhơn Phú B,Phường Tăng Nhơn Phú,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,,
"Đường Nguyễn Đức Thuận - Đường Loại 3,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Dương Đình Hội,Phường Tăng Nhơn Phú,TP. Hồ Chí Minh(Mới)",10.822334,106.779975,"Đường Dương Đình Hội, Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Đường Dương Đình Hội,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hưng Định 11 (Thạnh Quý - Hưng Thọ) - Đường Loại 5,Phường Thuận An,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,,
"Đường Đinh Tiên Hoàng,Phường Sài Gòn,TP. Hồ Chí Minh(Mới)",10.786005000746691,106.70223558890727,"Đinh Tiên Hoàng, Saigon, Ho Chi Minh City, 71006, Vietnam",,Đinh Tiên Hoàng,,71006,Khu phố 1,Saigon,Ho Chi Minh City,Đinh Tiên Hoàng,,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trần Khắc Chân,Phường Tân Định,TP. Hồ Chí Minh(Mới)",10.797767,106.679098,"Hẻm 23 Đường Trần Khắc Chân, Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Hẻm 23 Đường Trần Khắc Chân,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 20,Xã Đất Đỏ,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hồ Chí Minh,Xã Trừ Văn Thố,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Đại Nghĩa,Phường Hòa Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường DH505,Xã Phước Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Huỳnh Tấn Phát,Xã Nhà Bè,TP. Hồ Chí Minh(Mới)",10.6956953,106.7395591,"Nhà Bè, Vietnam",,,,72915,,,Nhà Bè,,Xã Nhà Bè,,,Vietnam,,,vn,,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lương Ngang,Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Chu Trinh,Phường Vũng Tàu,TP. Hồ Chí Minh(Mới)",10.803067679667917,106.7017095908139,"Phan Chu Trinh, Gia Dinh, Ho Chi Minh City, 72317, Vietnam",,Phan Chu Trinh,,72317,,Gia Dinh,Ho Chi Minh City,Phan Chu Trinh,,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Xuân 13,Phường Thới An,TP. Hồ Chí Minh(Mới)",10.863063,106.666031,"13, Đường Thạnh Xuân 13, Ho Chi Minh City, HC 71500, Vietnam",13,,,71500,,,Ho Chi Minh City,Đường Thạnh Xuân 13,Quan 8,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Bình Khánh,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Bình Mỹ,TP. Hồ Chí Minh",10.84342,106.22936,"Xã Mỹ Bình, LA, Vietnam",,,,,,,Xã Mỹ Bình,,Duc Hue,Long An,LA,Vietnam,,,vn,0.2222222222222222,0.05555555555555555,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Tỉnh Lộ 2,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Bình Trưng,TP. Hồ Chí Minh",10.794562871120261,106.75914734251417,"Đường dẫn cao tốc Thành phố Hồ Chí Minh – Long Thành – Dầu Giây, Khu phố 20, Ho Chi Minh City, 08408, Vietnam",,Đường dẫn cao tốc Thành phố Hồ Chí Minh – Long Thành – Dầu Giây,,08408,,Khu phố 20,Ho Chi Minh City,Đường dẫn cao tốc Thành phố Hồ Chí Minh – Long Thành – Dầu Giây,Phường Bình Trưng,,,Vietnam,,,vn,0.1111111111111111,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Huyện Nhà Bè,TP. Hồ Chí Minh",10.6745439,106.73295241850869,"UBND huyện Nhà Bè, Đường Phạm Thị Kỳ, Ho Chi Minh City, HC, Vietnam",,UBND huyện Nhà Bè,,,,,Ho Chi Minh City,Đường Phạm Thị Kỳ,Xã Nhà Bè,Ho Chi Minh,HC,Vietnam,,,vn,0.1111111111111111,0.09999999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 2,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,Quan 7,,,,,,,Quan 7,Ho Chi Minh,HC,Vietnam,,,vn,,0.11714876033057849,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Thảo Điền,Thành phố Thủ Đức,TP. Hồ Chí Minh",10.8043499,106.7472609,"21, Đường Võ Trường Toản T1-12b.03 Q2TD, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Road No.9, Ho Chi Minh City, HC 71108, Vietnam",,"21, Đường Võ Trường Toản T1-12b.03 Q2TD, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",,71108,,,Ho Chi Minh City,Road No.9,Phường An Khánh,Ho Chi Minh,HC,Vietnam,,,vn,0.3333333333333333,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hiệp Thành 26,Quận 12,TP. Hồ Chí Minh",10.639274,106.74945188544562,"Hiep Phuoc LNG Power Plant, Ho Chi Minh City, Vietnam",,Hiep Phuoc LNG Power Plant,,,,Hiep Phuoc LNG Power Plant,Ho Chi Minh City,,Xã Hiệp Phước,,,Vietnam,,,vn,0.2,0.05,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Chuyên Dùng Chính,Phường Phú Thuận,TP. Hồ Chí Minh(Mới)",10.7048636,106.7405882,"Chùa Quang Minh, 58, Chuyên Dùng Chính, Ho Chi Minh City, 72915, Vietnam",58,Chùa Quang Minh,,72915,,,Ho Chi Minh City,Chuyên Dùng Chính,Phường Phú Thuận,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tỉnh Lộ 2,Xã Trung Lập Hạ,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Xuân 52,Quận 12,TP. Hồ Chí Minh",10.89511,106.679433,"52, Đường Thạnh Xuân 52, HC, Vietnam",52,,,,,,,Đường Thạnh Xuân 52,Hoc Mon,Ho Chi Minh,HC,Vietnam,0.19999999999999998,0,vn,0.2222222222222222,0.09999999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Tam Bình,Phường Tam Bình,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,HC,Vietnam,,,vn,0.1111111111111111,0.018742913832199542,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trung Hưng,Xã Trung Lập Thượng,Huyện Củ Chi,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Tỉnh Lộ 7,Xã Thái Mỹ,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liêu Bình Hương,Xã Tân Thông Hội,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tắc Xuất,Thị trấn Cần Thạnh,Huyện Cần Giờ,TP. Hồ Chí Minh",10.406557,106.966695,"Đường Tắc Xuất, HC, Vietnam",,,CG,,,,,Đường Tắc Xuất,Can Gio,Ho Chi Minh,HC,Vietnam,,,vn,0.2222222222222222,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
