original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường Cống Hộp,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 7,Phường Linh Xuân,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đông Thạnh 4,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",10.7614399,106.68215374038462,"Ho Chi Minh City University of Pedagogy, 280, An Duong Vuong Street, Ho Chi Minh City, 72712, Vietnam",Ho Chi Minh City University of Pedagogy,280,An Duong Vuong Street,72712,,,Ho Chi Minh City,Phường An Đông,,,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 5C, Phường Bình Hưng Hòa A,Phường Bình Hưng Hoà A,Quận Bình Tân,TP. Hồ Chí Minh",10.78527,106.60761,"Phường Bình Hưng Hòa A, HC, Vietnam",,,,,,,Phường Bình Hưng Hòa A,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0.14762250000000005,0.5904900000000002,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Cao Thị Nhì (Đường Giao Thông Hào Ấp 3, Tân Quý Tây),Xã Tân Quý Tây,Huyện Bình Chánh,TP. Hồ Chí Minh",10.980091,106.456915,"3, Đường Cao Thị Bèo, HC, Vietnam",,3,Đường Cao Thị Bèo,,,,,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Kiên,Xã Tân Kiên,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,Vietnam,vn,,0.1,0.2,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Đình Kiên,Xã Tân Nhựt,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,Vietnam,vn,,0.1,0.2,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Văn Điều,Xã Phước Thạnh,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Văn Chẩm,Xã Phước Vĩnh An,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 16, Phường Bình Hưng Hòa,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.8232338,106.7153533,"Tạp Hoá Phượng, Đường Số 16, Khu phố 44, Ho Chi Minh City, 72309, Vietnam",Tạp Hoá Phượng,,Đường Số 16,72309,,Khu phố 44,Ho Chi Minh City,Phường Hiệp Bình,,,Vietnam,vn,,0.135,0.27,0.27,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
