original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county_code,county,state,confidence_building_level,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
"Phường Sài Gòn,TP. Hồ Chí Minh(Mới)",10.7771741,106.7003573,"Sở Tài nguyên và Môi trường, Ly Tu Trong Street, Saigon, Ho Chi Minh City, 71006, Vietnam",Sở Tài nguyên và Môi trường,,Ly Tu Trong Street,Khu phố 3,71006,Saigon,Ho Chi Minh City,,,,,,Vietnam,vn,0,,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường An Khánh,TP. Hồ Chí Minh(Mới)",21.02897215,105.81291872956892,"Công an phường Ngọc Khánh, 29, Nguyen Chi Thanh Road, Ba Đình District, Hanoi, HI 10251, Vietnam",Công an phường Ngọc Khánh,29,Nguyen Chi Thanh Road,,10251,Ba Đình District,Hanoi,,Giang Vo Ward,Ha Noi,,HI,Vietnam,vn,0.18,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Cầu Ông Lãnh,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Tân Định,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Bến Thành,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Ngãi Giao,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Phú An,TP. Hồ Chí Minh(Mới)",10.791621,106.7458175,"Công An Phường An Phú, Nguyễn Hoàng, Khu phố 1, Ho Chi Minh City, HC 71108, Vietnam",Công An Phường An Phú,,Nguyễn Hoàng,,71108,Khu phố 1,Ho Chi Minh City,,Phường Bình Trưng,Ho Chi Minh,,HC,Vietnam,vn,0.16363636363636364,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Vĩnh Tân,TP. Hồ Chí Minh(Mới)",10.75488175,106.68943610437688,"People's Committee of Ward 1, Ben Van Don Street, Ho Chi Minh City, HC 72760, Vietnam",People's Committee of Ward 1,,Ben Van Don Street,,72760,,Ho Chi Minh City,,Phường Vĩnh Hội,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",10.8246977,106.7156455,"Công Ty Vận Chuyển - Nhành Mai Mới, 23, Đường Số 2, Khu phố 44, Ho Chi Minh City, 72309, Vietnam",Công Ty Vận Chuyển - Nhành Mai Mới,23,Đường Số 2,,72309,Khu phố 44,Ho Chi Minh City,,Phường Hiệp Bình,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Dĩ An,TP. Hồ Chí Minh(Mới)",10.90005,106.75438,"Phường Dĩ An, BI, Vietnam",,,,,,,Phường Dĩ An,,Di An,Bin Duong,,BI,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
