original_address,lat,lon,formatted,name,postcode,county_code,housenumber,suburb,district,street,confidence_city_level,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_building_level,attribution,attribution_license,attribution_url
"Xã Châu Pha,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Thiên Phước,Phường Phú Thọ,TP. Hồ Chí Minh(Mới)",10.7530736,106.658239,"Vegetarian restaurant Thien Phuoc, Nguyen Trai, Cholon, Ho Chi Minh City, 73000, Vietnam",Vegetarian restaurant Thien Phuoc,73000,,,Cholon,,Nguyen Trai,,Ho Chi Minh City,,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đại lộ 3,Phường Phước Long,TP. Hồ Chí Minh(Mới)",10.771025834269421,106.70342928375334,"Ham Nghi Boulevard, Saigon, Ho Chi Minh City, 71010, Vietnam",Ham Nghi Boulevard,71010,,,Saigon,Khu phố 1,Ham Nghi Boulevard,,Ho Chi Minh City,,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Lê Lai,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hậu Giang,Phường 11,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",Quan 6,,,,,,,,,Quan 6,Ho Chi Minh,,HC,Vietnam,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ông Ích Khiêm,Phường Vũng Tàu,TP. Hồ Chí Minh(Mới)",21.0347109,105.83416600319492,"President Ho Chi Minh Mausoleum Defence Force, 2, Ong Ich Khiem Street, Ba Đình District, Hanoi, 10232, Vietnam",President Ho Chi Minh Mausoleum Defence Force,10232,,2,Ba Đình District,,Ong Ich Khiem Street,,Hanoi,Ba Dinh Ward,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 1,Phường Đông Hưng Thuận,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Nguyễn Bá Tòng,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Gò Cát,Phường Long Trường,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Âu Cơ,Phường Phú Thọ Hòa,TP. Hồ Chí Minh(Mới)",10.801827,106.636742,"Đường Âu Cơ, Ho Chi Minh City, HC, Vietnam",,,,,,,Đường Âu Cơ,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
