original_address,lat,lon,formatted,postcode,housenumber,county_code,street,district,city,suburb,name,county,state,state_code,confidence_building_level,confidence_city_level,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Lò Lu,Phường Long Trường,Quận 9,TP. Hồ Chí Minh",10.496228,106.371151,"Đường Lò Lu, LA, Vietnam",,,,Đường Lò Lu,,,,,Tan An,Long An,LA,,0.1111111111111111,Vietnam,0.1111111111111111,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phan Đình Thông,Phường  An Lạc,Quận Bình Tân,TP. Hồ Chí Minh",10.72278,106.60472,"An Lac, HC, Vietnam",,,,,,An Lac,,,Binh Chanh,Ho Chi Minh,HC,,0.2,Vietnam,,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Lộc 4,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.43943,105.623504,"4, Quản Bạch, DT, Vietnam",,4,,Quản Bạch,,,,,TP Cao Lanh,Dong Thap,DT,0,0.3333333333333333,Vietnam,0.041666666666666664,vn,0.01875,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 18B, Phường Bình Hưng Hòa A,Phường Bình Hưng Hoà B,Quận Bình Tân,TP. Hồ Chí Minh",10.816183846166936,106.77013345898456,"Đường 18B, Ho Chi Minh City, 71210, Vietnam",71210,,,Đường 18B,,Ho Chi Minh City,,Đường 18B,Phường Phước Long,,,,0.09,Vietnam,0.09,vn,0.045,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Xơ,Xã Thái Mỹ,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Nghi,Phường 15,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,Go Vap,,,Binh Thanh,Ho Chi Minh,HC,,0.2,Vietnam,,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D2, Phường Tăng Nhơn Phú A,Phường Phú Hữu,Quận 9,TP. Hồ Chí Minh",10.853349597137257,106.79311168303728,"Đường D2, Khu phố 15, Ho Chi Minh City, 71300, Vietnam",71300,,,Đường D2,,Ho Chi Minh City,Khu phố 15,Đường D2,Phường Tăng Nhơn Phú,,,,,Vietnam,,vn,0.12502349999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đặng Văn Kiều,Thị trấn Cần Thạnh,Huyện Cần Giờ,TP. Hồ Chí Minh",10.411503,106.969283,"Đường Đặng Văn Kiều, HC, Vietnam",,,CG,Đường Đặng Văn Kiều,,,,,Can Gio,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bùi Lâm,Thị trấn Cần Thạnh,Huyện Cần Giờ,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Các Đường 2, Lô D Thuộc Khu Dân Cư Nam Hùng Vương ( Đường 16M),Phường Bình Hưng Hoà B,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",,,,,,,,Binh Tan,Binh Tan,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Đỗ Xuân Hợp,Phường Tam Bình,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,Thu Duc,,,Thu Duc,Ho Chi Minh,HC,,0.1111111111111111,Vietnam,,vn,0.01688531392639407,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Bội Châu,Phường 14,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",,,,,,,,Binh Thanh,Binh Thanh,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Dương Cát Lợi,Thị trấn Nhà Bè,Huyện Nhà Bè,TP. Hồ Chí Minh",10.701692,106.741428,"Đường Dương Cát Lợi, HC, Vietnam",,,,Đường Dương Cát Lợi,,,,,Nha Be,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thới An 5,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.888685,106.650873,"5, Đường Thới An 6, Ho Chi Minh City, HC, Vietnam",,5,,Đường Thới An 6,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,0,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Thị Ngay (Đường Ấp 1),Xã Vĩnh Lộc A,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Binh Chanh,Ho Chi Minh,HC,,0.2,Vietnam,,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 15,Phường Hiệp Bình Chánh,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,Thu Duc,,,Thu Duc,Ho Chi Minh,HC,,0.1111111111111111,Vietnam,,vn,0.01632716049382716,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hà Đặc,Phường Trung Mỹ Tây,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",,,,,,,,Quan 12,Quan 12,Ho Chi Minh,HC,,,Vietnam,,vn,0.10740495867768596,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Thới Nhất 01,Phường Tân Thới Nhất,Quận 12,TP. Hồ Chí Minh",10.835318,106.613785,"01, Đường Tân Thới Nhất 2, HC, Vietnam",,01,,Đường Tân Thới Nhất 2,,,,,Hoc Mon,Ho Chi Minh,HC,0,0.2222222222222222,Vietnam,0.19999999999999998,vn,0.09999999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường T3 (P. Tây Thạnh),Phường Tây Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,Quan Tan Phu,,,Tan Phu,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Hòa Lợi,TP. Hồ Chí Minh",16.4596249,107.58110825370926,"Ho Chi Minh Museum, 7, Lê Lợi, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",54000,7,,Lê Lợi,,Huế,Phường Thuận Hóa,Ho Chi Minh Museum,,Huế,,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trung Mỹ Tây 9,Phường Trung Mỹ Tây,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",,,,,,,,Quan 12,Quan 12,Ho Chi Minh,HC,,,Vietnam,,vn,0.08731523783929053,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Vĩnh Tân,TP. Hồ Chí Minh",10.7622574,106.6288905,"Nhà Thuốc Minh Anh, 135, Lương Thế Vinh, Ho Chi Minh City, 72015, Vietnam",72015,135,,Lương Thế Vinh,,Ho Chi Minh City,,Nhà Thuốc Minh Anh,Phường Phú Thạnh,,,,0.3333333333333333,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Phú An,TP. Hồ Chí Minh",10.791621,106.7458175,"Công An Phường An Phú, Nguyễn Hoàng, Khu phố 1, Ho Chi Minh City, HC 71108, Vietnam",71108,,,Nguyễn Hoàng,,Ho Chi Minh City,Khu phố 1,Công An Phường An Phú,Phường Bình Trưng,Ho Chi Minh,HC,,0.18181818181818182,Vietnam,,vn,0.16363636363636364,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Hồ Tràm,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hiệp Thành 2,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.7470788,106.705668,"12, Đường số 2, Ho Chi Minh City, HC, Vietnam",,12,,Đường số 2,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,0,,Vietnam,,vn,0,,,
"Đường Hiệp Thành 35,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.856326,106.747454,"Số 17, Đường số 35, Ho Chi Minh City, HC 700000, Vietnam",700000,Số 17,,Đường số 35,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lâm Văn Bền,Phường Bình Thuận,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.07497520661157024,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 49,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.790095,106.7754,"Đường số 49, Ho Chi Minh City, HC, Vietnam",,,,Đường số 49,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,0.15,Vietnam,0.15,vn,0.15,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 12, Phường Tăng Nhơn Phú B,Phường Long Phước,Quận 9,TP. Hồ Chí Minh",16.0645247,108.202932,"UBND Phường Chính Gián, 12, Đường Nguyễn Tri Phương, Thanh Khê, Đà Nẵng, 50207, Vietnam",50207,12,,Đường Nguyễn Tri Phương,Phường Thanh Khê,Đà Nẵng,Thanh Khê,UBND Phường Chính Gián,,,,,0.3969,Vietnam,0.28934010000000004,vn,0.14467005000000002,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 27,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.0984375,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 100,Phường 14,Quận 11,TP. Hồ Chí Minh",10.762131,106.641724,"Quan 11, Vietnam",,,,,,,,Quan 11,Quan 11,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 7,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.11714876033057849,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 147, Phường Phước Long B,Phường Tăng Nhơn Phú B,Quận 9,TP. Hồ Chí Minh",10.88228745,106.76693634547452,"Chùa Linh Phước, Đường số 11, Khu phố 27, Ho Chi Minh City, 75350, Vietnam",75350,,,Đường số 11,,Ho Chi Minh City,Khu phố 27,Chùa Linh Phước,Phường Linh Xuân,,,,,Vietnam,,vn,0.03473527900499999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lý Tự Trọng,Phường Bến Nghé,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",,,,,,,,Quan 1,Quan 1,Ho Chi Minh,HC,,,Vietnam,,vn,0.08074047703809187,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 429, Phường Tăng Nhơn Phú A,Phường Tăng Nhơn Phú A,Quận 9,TP. Hồ Chí Minh",20.9860858,105.8466706,"429, Truong Dinh Road, Hoàng Mai District, Hanoi, HI 11617, Vietnam",11617,429,,Truong Dinh Road,,Hanoi,Hoàng Mai District,,Tuong Mai Ward,Ha Noi,HI,,0.2222222222222222,Vietnam,0.18,vn,0.162,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 12, Phường Tăng Nhơn Phú B,Phường Tăng Nhơn Phú B,Quận 9,TP. Hồ Chí Minh",16.0645247,108.202932,"UBND Phường Chính Gián, 12, Đường Nguyễn Tri Phương, Thanh Khê, Đà Nẵng, 50207, Vietnam",50207,12,,Đường Nguyễn Tri Phương,Phường Thanh Khê,Đà Nẵng,Thanh Khê,UBND Phường Chính Gián,,,,,0.3969,Vietnam,0.28934010000000004,vn,0.14467005000000002,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 5, Phường Long Thạnh Mỹ,Phường Tăng Nhơn Phú B,Quận 9,TP. Hồ Chí Minh",10.84557,106.615101,"Quán Tre, Ho Chi Minh City, HC, Vietnam",,,,Quán Tre,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Công Trứ,Phường Phú Hữu,Quận 9,TP. Hồ Chí Minh",9.776314,105.463698,"Đường Nguyễn Công Trứ, HU, Vietnam",,,,Đường Nguyễn Công Trứ,,,,,Vi Thanh,Hau Giang,HU,,0.05555555555555555,Vietnam,0.05555555555555555,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Ngô Quyền,Phường Hiệp Phú,Quận 9,TP. Hồ Chí Minh",20.9230558,106.3154596,"PHUONG ANH HOTEL, Ngô Quyền, Phường Lê Thanh Nghị, Hải Phòng, 03118, Vietnam",03118,,,Ngô Quyền,Phường Lê Thanh Nghị,Hải Phòng,Phường Lê Thanh Nghị,PHUONG ANH HOTEL,,,,,0.5984999999999999,Vietnam,0.5984999999999999,vn,0.29924999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Song Hành,Phường Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,,Phường Tân Hưng,Hải Phòng,,,,Phường Tân Hưng,,,0.2222222222222222,Vietnam,,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 35,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.79397,106.62169,"Phường Tân Quý, HC, Vietnam",,,,,,Phường Tân Quý,,,Quan 8,Ho Chi Minh,HC,,0.9,Vietnam,,vn,0.45,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",,,,,,,,Quan 12,Quan 12,Ho Chi Minh,HC,,,Vietnam,,vn,0.09025,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Chánh Hiệp 18,Phường Tân Chánh Hiệp,Quận 12,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 1, Phường Long Thạnh Mỹ,Phường Long Thạnh Mỹ,Quận 9,TP. Hồ Chí Minh",10.84557,106.615101,"Quán Tre, Ho Chi Minh City, HC, Vietnam",,,,Quán Tre,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Lộc 2,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.7470788,106.705668,"12, Đường số 2, Ho Chi Minh City, HC, Vietnam",,12,,Đường số 2,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,0,,Vietnam,,vn,0,,,
"Đường Thới An 28,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 29,Phường 10,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",,,,,,,,Quan 6,Quan 6,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Thế Hiển,Phường 12,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trịnh Quang Nghị,Phường 07,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Thuận Tây,Phường Tân Thuận Tây,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.06300000000000001,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 2, Phường Long Thạnh Mỹ,Phường Tân Phú,Quận 9,TP. Hồ Chí Minh",10.84572435,106.8249973424122,"Nghĩa trang Giáo xứ Long Thạnh Mỹ, Phường Long Bình, Vietnam",,,,,,,,Nghĩa trang Giáo xứ Long Thạnh Mỹ,Phường Long Bình,,,,,Vietnam,,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 3,Phường Tân Kiểng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.10267089180624715,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Thới,Phường 14,Quận 11,TP. Hồ Chí Minh",10.762131,106.641724,"Quan 11, Vietnam",,,,,,,,Quan 11,Quan 11,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Xuân 24,Phường An Phú Đông,Quận 12,TP. Hồ Chí Minh",10.43943,105.623504,"24, Quản Bạch, DT, Vietnam",,24,,Quản Bạch,,,,,TP Cao Lanh,Dong Thap,DT,0,0.3333333333333333,Vietnam,0.037037037037037035,vn,0.016666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trịnh Hoài Đức,Phường Hiệp Phú,Quận 9,TP. Hồ Chí Minh",10.984935276220368,106.67353353763129,"Trịnh Hoài Đức, Khu phố 1, 75111, Vietnam",75111,,,Trịnh Hoài Đức,,,Khu phố 1,Trịnh Hoài Đức,Phường Phú Lợi,,,,0.09,Vietnam,0.09,vn,0.13891499999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 1A,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.872647,106.681887,"Thạnh Lộc 12, Ho Chi Minh City, HC, Vietnam",,,,Thạnh Lộc 12,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đông Hưng Thuận 10B,Phường Đông Hưng Thuận,Quận 12,TP. Hồ Chí Minh",10.843098399999999,106.62585899999999,"Chung cư Đông Hưng 1, DN10, Đông Hưng Thuận 2, Ho Chi Minh City, 71509, Vietnam",71509,DN10,,Đông Hưng Thuận 2,,Ho Chi Minh City,,Chung cư Đông Hưng 1,Phường Đông Hưng Thuận,,,0,,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Khánh,TP. Hồ Chí Minh",10.55368775726973,106.37396773827805,"Đường cao tốc Thành phố Hồ Chí Minh – Trung Lương, Tân An, Tây Ninh Province, Vietnam",,,,Đường cao tốc Thành phố Hồ Chí Minh – Trung Lương,,Tân An,,Đường cao tốc Thành phố Hồ Chí Minh – Trung Lương,Phường Long An,Tây Ninh Province,,,0.1111111111111111,Vietnam,,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Song Hành - Khu Công Nghệ Cao,Phường Phước Long B,Quận 9,TP. Hồ Chí Minh",10.803017073550816,106.75113519763171,"Đường song hành, Khu phố 9, Ho Chi Minh City, 71108, Vietnam",71108,,,Đường song hành,,Ho Chi Minh City,Khu phố 9,Đường song hành,Phường Bình Trưng,,,,,Vietnam,,vn,0.19845,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Vành Đai,Phường 10,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",,,,,,,,Quan 6,Quan 6,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D1, Phường Hiệp Phú,Phường Phước Long B,Quận 9,TP. Hồ Chí Minh",11.1305124,106.60603515,"D1, Khu phố 4, Bến Cát, 75900, Vietnam",75900,,,D1,,Bến Cát,Khu phố 4,D1,Phường Bến Cát,,,,,Vietnam,,vn,0.13891499999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Cừ,Phường Cầu Kho,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",,,,,,,,Quan 1,Quan 1,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Chuyên Dùng Chính,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.06980609418282548,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tam Đa,Phường Long Phước,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,Quan Chin,,,Quan 9,Ho Chi Minh,HC,,0.2222222222222222,Vietnam,,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cầu Đình,Phường Long Trường,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,Quan Chin,,,Quan 9,Ho Chi Minh,HC,,0.2222222222222222,Vietnam,,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hoàng Sa,Phường Tân Định,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",,,,,,,,Quan 1,Quan 1,Ho Chi Minh,HC,,,Vietnam,,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
