original_address,lat,lon,formatted,street,housenumber,name,postcode,district,suburb,city,county,confidence_building_level,confidence_city_level,confidence_street_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Bình Giã - Thị Trấn Ngãi Giao,Xã Ngãi Giao,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hội Bài – Tóc Tiên - Châu Pha,Phường Tân Hải,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,
"Đường Trần Phú (P,1, P,5),Phường Vũng Tàu,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hắc Dịch - Tóc Tiên - Châu Pha,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",10.678631,107.134452,"Đường Hắc Dịch-Tóc Tiên-Châu Pha, BV, Vietnam",Đường Hắc Dịch-Tóc Tiên-Châu Pha,,,,,,,Tan Thanh,,0.1322314049586777,0.10710743801652893,Ba Ria-Vung Tau,BV,Vietnam,vn,0.06513922922699936,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 56,Xã Nghĩa Thành,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đình Nghi Xuân, Phường Bình Trị Đông,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.769258,106.619138,"Hẻm 89 Đường Đình Nghi Xuân, Ho Chi Minh City, HC, Vietnam",Hẻm 89 Đường Đình Nghi Xuân,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hùng Vương - Thị Trấn Phước Bửu,Xã Hồ Tràm,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,
"Đường Số 20, Thị Trấn Long Điền,Xã Long Điền,TP. Hồ Chí Minh(Mới)",10.811202,106.7081899,"Hướng Nghiệp Á Âu, 20, Đường Số 1, Ho Chi Minh City, 72308, Vietnam",Đường Số 1,20,Hướng Nghiệp Á Âu,72308,,,Ho Chi Minh City,Phường Bình Thạnh,,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Liên Tỉnh Lộ 328 (Đi Qua Các Xã Phước Thuận, Phước Tân, Hòa Bình, Hòa Hưng, Bàu Lâm, Tân Lâm) - Đoạn Thuộc Xã Hòa Hưng,Xã Bàu Lâm,TP. Hồ Chí Minh(Mới)",12.110454,109.082789,"Đường đi qua Suối ba Li, KH, Vietnam",Đường đi qua Suối ba Li,,,,,,,Cam Lam,,0.5670000000000001,0.3348078300000001,Khanh Hoa,KH,Vietnam,vn,0.022325624999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Mạc Hiển Tích,Phường Long Bình,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Thị Nghĩ (Đường Liên Ấp 5-6),Xã Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mỹ Xuân - Ngãi Giao (Đoạn Thi Công Mới Thuộc Xã Sông Xoài),Phường Tân Thành,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mỹ Xuân - Ngãi Giao (Đoạn Thi Công Mới Thuộc Phường Hắc Dịch),Phường Tân Thành,TP. Hồ Chí Minh(Mới)",10.6432615,107.125883,"Thùy Dương, Đường Mỹ Xuân-Ngãi Giao, Khu phố 2, Vietnam",Đường Mỹ Xuân-Ngãi Giao,,Thùy Dương,,Khu phố 2,,,Phường Tân Thành,,,,,,Vietnam,vn,0.050625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Kim Long – Quảng Thành,Xã Kim Long,TP. Hồ Chí Minh(Mới)",10.70159,107.22873,"Xã Kim Long, BV, Vietnam",,,,,,,Xã Kim Long,Chau Duc,,,,Ba Ria-Vung Tau,BV,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Tô Ngọc Vân,Phường Thới An,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Văn Bích,Xã Bình Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 102, Phường Tăng Nhơn Phú A,Phường Tăng Nhơn Phú,TP. Hồ Chí Minh(Mới)",10.7368073,106.7095044,"102, Đường số 47, Ho Chi Minh City, HC 72910, Vietnam",Đường số 47,102,,72910,,,Ho Chi Minh City,Phường Tân Hưng,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nhị Bình 5,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",10.902585,106.684714,"5, Đường Nhị Bình 19, HC, Vietnam",Đường Nhị Bình 19,5,,,,,,Hoc Mon,0,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Khạ,Xã Nhuận Đức,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cầu Đình,Phường Long Phước,TP. Hồ Chí Minh(Mới)",10.812744,106.866949,"Đường Cầu Đình, Ho Chi Minh City, HC, Vietnam",Đường Cầu Đình,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phú Hiệp,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hắc Dịch - Tóc Tiên,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Huỳnh Văn Cọ,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Văn Điều,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường  Phú Mỹ - Tóc Tiên,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,
"Đường Sông Xoài – Cù Bị,Phường Tân Thành,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Gia Trí,Phường Thạnh Mỹ Tây,TP. Hồ Chí Minh(Mới)",10.802236,106.716248,"Hẻm 36 Đường Nguyễn Gia Trí, Ho Chi Minh City, HC, Vietnam",Hẻm 36 Đường Nguyễn Gia Trí,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Võ Văn Bích,Xã Phú Hòa Đông,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Văn Chẩm,Xã Củ Chi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường An Nhơn Tây,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Dương Bạch Mai,Xã Long Điền,TP. Hồ Chí Minh(Mới)",10.4851113,107.2119218,"Long Dien, Vietnam",,,,78107,,,Long Dien,Xã Long Điền,,,,,,Vietnam,vn,0.05,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hồ Văn Tắng,Xã Hậu Nghĩa,Tây Ninh(Mới)",15.101518,108.807892,"Đường Phạm Đường, QG, Vietnam",Đường Phạm Đường,,,,,,,Tu Nghia,,0.35720999999999997,0.32148899999999997,Quang Ngai,QG,Vietnam,vn,0.07346938775510203,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Linh,Xã Phước Hải,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 89,Xã Củ Chi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 2,Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Thị Bay,Xã Phú Hòa Đông,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Ảnh Thủ,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Thị Ngà,Xã Củ Chi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Điện Biên Phủ,Phường Bà Rịa,TP. Hồ Chí Minh(Mới)",10.801234160860009,106.71094678079649,"Duong Dien Bien Phu, Gia Dinh, Ho Chi Minh City, 72308, Vietnam",Duong Dien Bien Phu,,Duong Dien Bien Phu,72308,,Gia Dinh,Ho Chi Minh City,,,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Liên Ấp 3, 4,Xã Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",10.804363,106.580746,"4, Đường Liên Ấp 3-4, HC, Vietnam",Đường Liên Ấp 3-4,4,,,,,,Binh Chanh,0,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thanh Niên,Xã Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Châu Văn Biếc,Xã Đất Đỏ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cao Thị Bèo,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bà Triệu,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thích Thiện Hòa,Xã Bình Lợi,TP. Hồ Chí Minh(Mới)",11.04247,106.82296,"Xã Bình Lợi, DN, Vietnam",,,,,,,Xã Bình Lợi,Vinh Cuu,,,,Dong Nai,DN,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Đỗ Xuân Hợp,Phường Long Trường,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Nguyên Giáp,Phường Phước Thắng,TP. Hồ Chí Minh(Mới)",10.802593570861454,106.7445789841391,"HCMC Metro Line 1 (Ben Thanh - Suoi Tien Section), Vo Nguyen Giap Boulevard, Khu phố 3, Ho Chi Minh City, 71108, Vietnam",Vo Nguyen Giap Boulevard,,HCMC Metro Line 1 (Ben Thanh - Suoi Tien Section),71108,,Khu phố 3,Ho Chi Minh City,Phường An Khánh,,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Huỳnh Thị Mài,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tỉnh Lộ 8,Xã Phan Sơn,Lâm Đồng(Mới)",10.7577389,106.60742735,"UBND phường Bình Trị Đông B, 837, Provincial Road 10, HC 73118, Vietnam",Provincial Road 10,837,UBND phường Bình Trị Đông B,73118,,,,Phường Bình Trị Đông,0.001395829743236257,0.21428571428571427,0.19285714285714284,Ho Chi Minh,HC,Vietnam,vn,0.2653846153846154,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 22,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Phú,Phường Tam Long,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 22 tháng 12,Phường An Phú,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 16,Xã Củ Chi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường TL7,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Xuân Thới Sơn 3,Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",10.871292,106.582293,"3, Đường Xuân Thới Sơn 20, HC, Vietnam",Đường Xuân Thới Sơn 20,3,,,,,,Hoc Mon,0,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đào Thị Thơm,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hùng Vương,Xã Hồ Tràm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cây Trôm-Mỹ Khánh,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ngô Quyền,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đoàn Minh Triết,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Khạ,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thị Rành,Xã Nhuận Đức,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quốc Lộ 22,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đặng Công Bỉnh,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 01 duong so 3,Phường Tân Thuận,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thị Rành,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Thị Thàng,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Vĩnh Phú 20,Phường Bình Hòa,TP. Hồ Chí Minh(Mới)",10.880417,106.714315,"20, KDC Vĩnh Phú I Đường Số 51A, Ho Chi Minh City, HC, Vietnam",KDC Vĩnh Phú I Đường Số 51A,20,,,,,Ho Chi Minh City,Quan 8,0,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Nguyễn Thị Dòn,Xã Nhuận Đức,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
