original_address,lat,lon,formatted,district,name,county_code,housenumber,street,postcode,suburb,city,county,confidence_city_level,confidence_street_level,confidence_building_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Trần Hải Phụng,Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hẻm C1,Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 1C,Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Văn Kiệt,Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Bà Điểm,Huyện Hóc Môn,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Khu Nông Nghiệp Công Nghệ Cao - Huyện Bình Chánh,Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.066737,105.820789,"cấu Huyện đội, VL, Vietnam",,,,,cấu Huyện đội,,,,Binh Minh,0.2,0.05714285714285714,,Vinh Long,VL,Vietnam,vn,0.02857142857142857,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường 09,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Lâm,Phường 07,Quận Phú Nhuận,TP. Hồ Chí Minh",10.7167947,106.7266796,"07, Đường Mỹ Phú 1C, Ho Chi Minh City, 72915, Vietnam",,,,07,Đường Mỹ Phú 1C,72915,,Ho Chi Minh City,Phường Tân Mỹ,0.1111111111111111,0.027782999999999995,0.027782999999999995,,,Vietnam,vn,0.027782999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường 07,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Văn Sỹ,Phường 10,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 13,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 04,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Duy Tân,Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lam Sơn,Phường 05,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trường Sa,Phường 13,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 01,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 08,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Chiến Lược,Phường Bình Trị Đông A,Quận Bình Tân,TP. Hồ Chí Minh",10.761141,106.606333,"Đường Chiến Lược, HC, Vietnam",,,,,Đường Chiến Lược,,,,Binh Tan,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Đồng Đen,Phường 14,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Văn Cao,Phường Phú Thọ Hòa,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,,,Quan Tan Phu,Tan Phu,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Khánh Hội,TP. Hồ Chí Minh",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",,Phụ kiện trang trí sinh nhật Ellie Party,,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,72806,,Ho Chi Minh City,Phường Khánh Hội,,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Duyên Hải,Thị trấn Cần Thạnh,Huyện Cần Giờ,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đào Duy Anh,Phường 09,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 09,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",,Quan 3,,,,,,,Quan 3,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Văn Sỹ,Phường 14,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",,Quan 3,,,,,,,Quan 3,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Vĩnh Viễn,Phường 04,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",,Quan 10,,,,,,,Quan 10,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đồng Nai,Phường 12,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",,Quan 10,,,,,,,Quan 10,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",,Quan 1,,,,,,,Quan 1,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Quận 8,TP. Hồ Chí Minh",10.7132627,106.6243045,"Chùa Định Lâm, 8, Phu Dinh, Ho Chi Minh City, 71910, Vietnam",,Chùa Định Lâm,,8,Phu Dinh,71910,,Ho Chi Minh City,Phường Phú Định,0.3333333333333333,0.13229999999999997,,,,Vietnam,vn,0.13229999999999997,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",,Quan 3,,,,,,,Quan 3,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Quận 4,TP. Hồ Chí Minh",10.759676,106.703296,"Quan 4, Vietnam",,Quan 4,,,,,,,Quan 4,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, HC 71006, Vietnam",Khu phố 3,Quan 1,,,,71006,Saigon,Ho Chi Minh City,Quan 1,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Số 31,Xã Nghĩa Thành,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Quận 11,TP. Hồ Chí Minh",10.762131,106.641724,"Quan 11, Vietnam",,Quan 11,,,,,,,Quan 11,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Quận 12,TP. Hồ Chí Minh",10.72937415,106.7233869988456,"Victory Tower, 12, Đường Tân Trào, Ho Chi Minh City, 72915, Vietnam",,Victory Tower,,12,Đường Tân Trào,72915,,Ho Chi Minh City,Phường Tân Mỹ,0.1111111111111111,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
