original_address,lat,lon,formatted,name,housenumber,state,district,state_code,street,confidence_city_level,postcode,suburb,city,confidence_building_level,confidence_street_level,county,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Nguyễn Văn Bé,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.79715085,106.70645531587837,"Chung Cư SGC Nguyễn Cửu Vân, 46/11, Ho Chi Minh City, Vietnam",Chung Cư SGC Nguyễn Cửu Vân,46/11,,,,,,,,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Văn Tách,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Yersin,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Tri Phương,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.7613537,106.6687167,"Chicken Plus Nguyễn Tri Phương, 226, Nguyen Tri Phuong Boulevard, Ho Chi Minh City, 72000, Vietnam",Chicken Plus Nguyễn Tri Phương,226,,,,Nguyen Tri Phuong Boulevard,,72000,,Ho Chi Minh City,,,Phường Vườn Lài,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phạm Ngọc Thạch,Phường Bình Dương,TP. Hồ Chí Minh(Mới)",10.781290267667126,106.6973707437603,"Phạm Ngọc Thạch, Saigon, Ho Chi Minh City, 71006, Vietnam",Phạm Ngọc Thạch,,,Khu phố 3,,Phạm Ngọc Thạch,,71006,Saigon,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Võ Văn Kiệt,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Chí Thanh,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồ Văn Cống,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Chí Thanh,Phường Phú An,TP. Hồ Chí Minh(Mới)",10.758045496946325,106.66011085477432,"Nguyen Chi Thanh Street, Cholon, Ho Chi Minh City, 72415, Vietnam",Nguyen Chi Thanh Street,,,,,Nguyen Chi Thanh Street,,72415,Cholon,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Hồng Phong,Phường Thuận An,TP. Hồ Chí Minh(Mới)",10.7637813,106.6814719336958,"Le Hong Phong High School for the Gifted, 235, Nguyễn Văn Cừ, Ho Chi Minh City, 72760, Vietnam",Le Hong Phong High School for the Gifted,235,,,,Nguyễn Văn Cừ,,72760,,Ho Chi Minh City,,,Phường Cầu Ông Lãnh,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lò Lu,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Đăng Lưu,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Chí Dân,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trịnh Hoài Đức,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 8,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Quốc lộ 13,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 30/4 - Đường Loại 2,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.9808621,106.6537419,"Thủ Dầu Một, Vietnam",,,,,,,,75106,,Thủ Dầu Một,,,Phường Thủ Dầu Một,Vietnam,vn,0.027777777777777776,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường ĐX072,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường ĐX043,Phường Bình Dương,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường ĐX063,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mạc Đĩnh Chi,Phường Phú An,TP. Hồ Chí Minh(Mới)",10.783888639519533,106.70041278226536,"Mạc Đĩnh Chi, Saigon, Ho Chi Minh City, 71006, Vietnam",Mạc Đĩnh Chi,,,Khu phố 2,,Mạc Đĩnh Chi,,71006,Saigon,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường ĐX082,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường ĐX087,Phường Phú An,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
